6.5	3	50
11	2	50
0.5	3	50
9	8.5	50
11	7	70
7.5	1.5	70
7.5	1.5	70
7.5	4	70
4.5	3.5	27.5
5	0.5	12
2.5	0.5	4
3	2.5	10.5
11.5	0.5	28
1	2	3
4	4	10.5
2.5	2.5	6.5
35	0.5	8.5
23.5	0.25	11.5
5.5	14	2
2	2.5	11.5
4	3.5	19
3	11	0.5
4.5	3	4.5
3.5	1.5	11
4	2	5.5
8	3	15
6.5	3	13.5
4.5	8	4.5
2.5	1	24
10	0.5	8
7	13.5	5.5
7.5	4.5	7.5
1.5	45	50
3.5	45	60
4.5	50	70
2.5	60	70
13.5	60	70
10.5	50	70
7.5	60	70
6	60	70
2	4.5	40
0.5	0.25	70
1.5	0.25	70
4	1.5	70
5	3	70
0.5	0.5	70
4.5	2.5	70
20	45	70
40	125	40
8	70	60
2.5	70	40
6	70	50
11.5	70	70
6.5	30	70
7.5	50	70
5.5	70	70
6.5	13	70
2.5	50	70
0.25	60	70
7.5	60	70
4	70	70
1	70	70
1.5	60	70
22.5	60	70
6	200	37.5
12	70	30
5	70	50
14.5	200	70
11.5	70	70
5	70	70
11.5	70	70
5	19	70
11	50	70
8	60	70
5	70	70
13	70	70
6	70	70
8	70	70
5.5	60	70
12.5	60	70
12.5	20	70
9	50	70
3.5	70	70
5.5	70	70
13	70	70
5.5	70	70
10.5	70	70
11	70	70
6.5	50	70
11.5	70	70
14.5	70	70
23.5	70	70
4	70	70
12	70	70
16.5	70	70
10	70	70
