88	18	1	70	80	150	6	100	3	55	100	4
52	6	13	160	160	144	9	80	1	78	0	32
96	5	13	140	25	50	2	100	NA	100	120	27
48	1	14	140	60	70	6	160	11	100	120	15
100	2	34	100	88	120	125	120	7	64	120	11
120	2	140	54	108	120	12	64	NA	150	120	3
120	100	5	50	140	100	3	25	7	80	120	2
120	2	4	80	70	80	NA	75	4	50	100	3
19	10	11	7	18	2	6	3	2	11	17	4
NA	10	13	12	16	11	NA	NA	2	12	18	24
19	5	20	18	13	5	5	3	8	14	42	31
55	15	15	18	1	21	20	10	13	6	14	8
49	8	11	27	22	4	23	16	6	12	33	15
17	15	5	10	7	13	10	3	9	12	22	10
60	8	12	8	16	6	4	19	17	22	35	11
22	14	4	10	2	10	15	14	17	29	24	37
104	40	10	160	160	120	140	80	270	90	150	180
174	20	42	150	37	88	124	100	88	100	80	160
180	180	35	180	70	140	120	140	160	200	112	140
152	52	20	180	52	260	220	90	160	130	92	140
200	100	29	150	65	180	200	55	170	180	120	180
100	48	44	180	29	96	80	60	110	140	120	120
64	60	13	160	14	15	108	88	160	120	100	128
120	34	160	160	20	18	65	50	90	240	140	47
140	100	72	40	26	8	20	80	11	4	1	56
160	120	100	120	25	5	460	140	1	16	4	48
84	66	23	100	125	25	50	125	NA	60	12	76
140	10	88	25	100	2	44	135	NA	52	12	120
82	10	160	50	100	1	56	56	NA	14	3	30
45	16	80	40	42	4	100	120	1	11	6	80
15	8	20	100	80	5	40	90	NA	1	3	30
50	6	15	140	120	80	90	80	NA	20	3	75
112	53	40	27	22	48	132	65	80	160	140	10
200	140	140	60	35	80	100	140	140	33	160	17
80	20	120	80	25	125	200	160	160	45	110	60
90	100	100	120	60	120	160	140	88	140	100	105
140	120	90	56	80	80	160	88	100	80	120	100
65	120	100	27	60	140	100	152	80	125	100	140
160	120	80	80	140	72	90	38	60	60	90	40
60	120	160	100	70	100	34	60	39	31	100	200
110	20	68	46	45	140	100	80	36	50	80	66
16	5	60	44	114	66	80	132	21	125	80	128
76	2	70	56	140	140	56	100	57	125	100	135
120	NA	10	12	120	45	120	100	60	80	105	57
70	NA	48	50	130	80	140	125	75	222	105	148
130	4	42	40	160	100	112	128	120	135	125	150
160	1	15	5	78	80	50	72	80	120	50	100
180	NA	16	4	50	14	100	134	90	100	108	90
